BIOMATERIAL_PROVIDER	Anja Hillmann, Pap Lab
BIOMATERIAL_TYPE	primary cell culture
COMMENT	sister of 53_Mf07, same caging
DEEP_SAMPLE_ID	53_Mf08_LPFi_RA
DISEASE	rheumatoid arthritis
DONOR_ETHNICITY	no-data
ORGANISM	Mus musculus
STATUS	hTNF transgenic
STRAIN	C57BL/6
CELL_TYPE	fibroblast
DONOR_AGE	13
DONOR_AGE_UNIT	weeks
DONOR_HEALTH_STATUS	healthy
DONOR_ID	53_Mf08
DONOR_SEX	female
MARKERS	isolated from the synovium
POOL	no
TISSUE_TYPE	synovial fluid
SORTING_PARAMETERS	no-data
COLLECTION_METHOD	no-data
TISSUE_DEPOT	no-data
